,date,volume
8842,2021-11-04 21:52:42+00:00,19
8841,2021-11-04 21:52:51+00:00,19
8840,2021-11-04 21:52:55+00:00,16
8839,2021-11-04 21:52:57+00:00,16
8838,2021-11-04 21:52:59+00:00,16
8837,2021-11-04 21:53:02+00:00,20
8836,2021-11-04 21:53:06+00:00,21
8835,2021-11-04 21:53:08+00:00,20
8834,2021-11-04 21:53:12+00:00,20
8833,2021-11-04 21:53:17+00:00,20
8832,2021-11-04 21:53:19+00:00,20
8831,2021-11-04 21:53:26+00:00,21
8830,2021-11-04 21:53:29+00:00,22
8829,2021-11-04 21:53:34+00:00,20
8828,2021-11-04 21:53:35+00:00,21
8827,2021-11-04 21:53:36+00:00,23
8826,2021-11-04 21:53:37+00:00,23
8825,2021-11-04 21:53:41+00:00,24
8824,2021-11-04 21:53:43+00:00,22
8823,2021-11-04 21:53:46+00:00,23
8822,2021-11-04 21:53:59+00:00,21
8821,2021-11-04 21:54:01+00:00,21
8820,2021-11-04 21:54:05+00:00,18
8819,2021-11-04 21:54:06+00:00,19
8818,2021-11-04 21:54:07+00:00,19
8817,2021-11-04 21:54:10+00:00,19
8816,2021-11-04 21:54:15+00:00,19
8815,2021-11-04 21:54:16+00:00,21
8814,2021-11-04 21:54:18+00:00,21
8813,2021-11-04 21:54:20+00:00,21
8812,2021-11-04 21:54:24+00:00,22
8811,2021-11-04 21:54:25+00:00,23
8810,2021-11-04 21:54:29+00:00,23
8809,2021-11-04 21:54:31+00:00,23
8808,2021-11-04 21:54:36+00:00,21
8807,2021-11-04 21:54:39+00:00,20
8806,2021-11-04 21:54:42+00:00,20
8805,2021-11-04 21:54:47+00:00,19
8804,2021-11-04 21:54:49+00:00,20
8803,2021-11-04 21:54:54+00:00,21
8802,2021-11-04 21:55:05+00:00,20
8801,2021-11-04 21:55:10+00:00,18
8800,2021-11-04 21:55:18+00:00,15
8799,2021-11-04 21:55:19+00:00,16
8798,2021-11-04 21:55:23+00:00,16
8797,2021-11-04 21:55:24+00:00,17
8796,2021-11-04 21:55:25+00:00,17
8795,2021-11-04 21:55:27+00:00,17
8794,2021-11-04 21:55:29+00:00,18
8793,2021-11-04 21:55:32+00:00,17
8792,2021-11-04 21:55:33+00:00,18
8791,2021-11-04 21:55:36+00:00,19
8790,2021-11-04 21:55:38+00:00,19
8789,2021-11-04 21:55:49+00:00,17
8788,2021-11-04 21:55:52+00:00,17
8787,2021-11-04 21:55:53+00:00,18
8786,2021-11-04 21:55:55+00:00,18
8785,2021-11-04 21:55:56+00:00,20
8784,2021-11-04 21:55:57+00:00,21
8783,2021-11-04 21:56:02+00:00,22
8782,2021-11-04 21:56:03+00:00,23
8781,2021-11-04 21:56:10+00:00,23
8780,2021-11-04 21:56:14+00:00,23
8779,2021-11-04 21:56:18+00:00,24
8778,2021-11-04 21:56:19+00:00,23
8777,2021-11-04 21:56:22+00:00,23
8776,2021-11-04 21:56:27+00:00,21
8775,2021-11-04 21:56:29+00:00,21
8774,2021-11-04 21:56:32+00:00,22
8773,2021-11-04 21:56:41+00:00,19
8772,2021-11-04 21:56:42+00:00,20
8771,2021-11-04 21:56:47+00:00,21
8770,2021-11-04 21:56:48+00:00,22
8769,2021-11-04 21:56:52+00:00,22
8768,2021-11-04 21:56:53+00:00,22
8767,2021-11-04 21:56:57+00:00,19
8766,2021-11-04 21:56:58+00:00,19
8765,2021-11-04 21:57:07+00:00,18
8764,2021-11-04 21:57:10+00:00,19
8763,2021-11-04 21:57:13+00:00,19
8762,2021-11-04 21:57:15+00:00,19
8761,2021-11-04 21:57:16+00:00,20
8760,2021-11-04 21:57:17+00:00,21
8759,2021-11-04 21:57:22+00:00,20
8758,2021-11-04 21:57:26+00:00,20
8757,2021-11-04 21:57:27+00:00,21
8756,2021-11-04 21:57:30+00:00,19
8755,2021-11-04 21:57:33+00:00,19
8754,2021-11-04 21:57:34+00:00,20
8753,2021-11-04 21:57:39+00:00,23
8752,2021-11-04 21:57:41+00:00,24
8751,2021-11-04 21:57:48+00:00,23
8750,2021-11-04 21:57:49+00:00,24
8749,2021-11-04 21:57:50+00:00,25
8748,2021-11-04 21:57:52+00:00,26
8747,2021-11-04 21:57:57+00:00,25
8746,2021-11-04 21:57:58+00:00,25
8745,2021-11-04 21:58:02+00:00,25
8744,2021-11-04 21:58:10+00:00,25
8743,2021-11-04 21:58:13+00:00,25
8742,2021-11-04 21:58:15+00:00,25
8741,2021-11-04 21:58:18+00:00,23
8740,2021-11-04 21:58:23+00:00,23
8739,2021-11-04 21:58:24+00:00,25
8738,2021-11-04 21:58:27+00:00,26
8737,2021-11-04 21:58:37+00:00,23
8736,2021-11-04 21:58:38+00:00,24
8735,2021-11-04 21:58:42+00:00,20
8734,2021-11-04 21:58:43+00:00,21
8733,2021-11-04 21:58:44+00:00,22
8732,2021-11-04 21:58:50+00:00,20
8731,2021-11-04 21:58:53+00:00,19
8730,2021-11-04 21:58:55+00:00,20
8729,2021-11-04 21:58:57+00:00,21
8728,2021-11-04 21:59:03+00:00,19
8727,2021-11-04 21:59:04+00:00,20
8726,2021-11-04 21:59:05+00:00,21
8725,2021-11-04 21:59:09+00:00,22
8724,2021-11-04 21:59:12+00:00,22
8723,2021-11-04 21:59:13+00:00,23
8722,2021-11-04 21:59:17+00:00,22
8721,2021-11-04 21:59:18+00:00,23
8720,2021-11-04 21:59:22+00:00,25
8719,2021-11-04 21:59:24+00:00,24
8718,2021-11-04 21:59:30+00:00,22
8717,2021-11-04 21:59:31+00:00,23
8716,2021-11-04 21:59:38+00:00,23
8715,2021-11-04 21:59:45+00:00,20
8714,2021-11-04 21:59:55+00:00,19
8713,2021-11-04 22:00:01+00:00,18
8712,2021-11-04 22:00:03+00:00,20
8711,2021-11-04 22:00:05+00:00,19
8710,2021-11-04 22:00:11+00:00,18
8709,2021-11-04 22:00:16+00:00,17
8708,2021-11-04 22:00:18+00:00,17
8707,2021-11-04 22:00:20+00:00,15
8706,2021-11-04 22:00:21+00:00,17
8705,2021-11-04 22:00:22+00:00,18
8704,2021-11-04 22:00:24+00:00,18
8703,2021-11-04 22:00:26+00:00,18
8702,2021-11-04 22:00:27+00:00,23
8701,2021-11-04 22:00:31+00:00,23
8700,2021-11-04 22:00:32+00:00,23
8699,2021-11-04 22:00:42+00:00,23
8698,2021-11-04 22:00:43+00:00,24
8697,2021-11-04 22:00:56+00:00,23
8696,2021-11-04 22:00:57+00:00,24
8695,2021-11-04 22:00:58+00:00,25
8694,2021-11-04 22:01:03+00:00,24
8693,2021-11-04 22:01:09+00:00,23
8692,2021-11-04 22:01:10+00:00,24
8691,2021-11-04 22:01:12+00:00,24
8690,2021-11-04 22:01:18+00:00,24
