tweet_created_at,tweet_id,tweet_text,tweet_source,tweet_retweet_count,tweet_favorite_count,tweet_created_date
2021-11-04 23:15:02+00:00,1.46E+18,"Animal Crossing Cooking Recipes - How To Cook, New Horizons Full Recipe List https://t.co/7W2qGqKnn3 #Repost… https://t.co/SkSNjbp9Iw",Nlife CMS,8,50,11/4/2021
2021-11-01 23:35:53+00:00,1.46E+18,"CELEBRATION OF 500 FOLLOWERS 🥰💙💙 THANK YOU

🎉GIVEAWAY🎉

Wanted to help who can’t get it but love it as much as me :… https://t.co/b6eQhehHiK",Twitter for iPhone,8,12,11/1/2021
2021-11-05 12:00:02+00:00,1.46E+18,Time Travelling Reveals New Event Coming To Animal Crossing: New Horizons This Month https://t.co/EMaaxJ0O2n… https://t.co/MPsLquV38f,Nlife CMS,8,75,11/5/2021
2021-11-04 16:22:51+00:00,1.46E+18,"Now streaming - Animal Crossing: New Horizons

https://t.co/U4mdy3tH6h

#TwitchAffiliate
#SupportSmallStreamers… https://t.co/1rDLWcImpl",Streamlabs Twitter,8,6,11/4/2021
2021-11-05 05:34:27+00:00,1.46E+18,"THE PINK FROGGY CHAIR HAS ARRIVED I REPEAT THE PINK FROGGY CHAIR HAS ARRIVED!!

#AnimalCrossing #ACNH… https://t.co/c3fYicSutJ",Nintendo Switch Share,8,62,11/5/2021
2021-10-31 18:11:17+00:00,1.45E+18,Hope you all are having a fun Halloween😀 #halloween2021 #Gaming #AnimalCrossing #Nintendo https://t.co/zTAKzzqqZO,Twitter for iPhone,8,90,10/31/2021
2021-11-02 12:10:27+00:00,1.46E+18,"TUESDAY Day 587: Animal Crossing Dailys, T99 &amp; other games https://t.co/ufBHAFtazz #VillyGang #PokemonUNITE… https://t.co/StjwtWoDdi",Twitter for Android,8,1,11/2/2021
2021-11-01 11:27:28+00:00,1.46E+18,"How did your Halloween go ?

On my end, not sure if Jack'O made it through the night 🪓

#ACNH #AnimalCrossing… https://t.co/0QD8fm3uWm",Twitter for Android,8,114,11/1/2021
2021-10-31 22:17:24+00:00,1.45E+18,"my halloween was spent with this mean mug bc i didnt give jack candy 🍭

♡ — #acnh #animalcrossing  #どうぶつの森 https://t.co/UguLDypdeO",Twitter for iPad,8,73,10/31/2021
2021-11-05 03:17:51+00:00,1.46E+18,"tv with vcr, you are everything to me 📺💕 #acnh #animalcrossing https://t.co/o8zLVXhd2p",Twitter for iPhone,8,85,11/5/2021
2021-11-04 19:15:02+00:00,1.46E+18,Animal Crossing Froggy Chair - How To Get The Froggy Chair In New Horizons https://t.co/BiOpkTIoQO #Repost #Guides… https://t.co/jm0FHEF38N,Nlife CMS,8,78,11/4/2021
2021-10-31 22:12:02+00:00,1.45E+18,blanche is home #AnimalCrossing #ACNH #NintendoSwitch https://t.co/d5QmGVigD6,Nintendo Switch Share,8,52,10/31/2021
2021-11-04 16:42:39+00:00,1.46E+18,hey look at this #AnimalCrossing #ACNH #NintendoSwitch https://t.co/5SGOIKtWN8,Nintendo Switch Share,8,47,11/4/2021
2021-11-05 15:36:00+00:00,1.46E+18,Happy #AnimalCrossingNewHorizons update day!!! #acnh #animalcrossing #cosplay https://t.co/poeF3Je66R,TweetDeck,8,69,11/5/2021
2021-11-05 21:19:48+00:00,1.46E+18,I'm having too much fun with this update!! #AnimalCrossing #ACNH #NintendoSwitch https://t.co/gcdH2SFpTP,Nintendo Switch Share,8,81,11/5/2021
2021-11-05 04:41:51+00:00,1.46E+18,don't let your dreams just be dreams #AnimalCrossing #ACNH #NintendoSwitch https://t.co/rKClugjpKM,Nintendo Switch Share,8,36,11/5/2021
2021-11-05 19:22:49+00:00,1.46E+18,Wait - Blathers now gives you super cool posters when you complete an exhibit! #AnimalCrossing #acnh https://t.co/7GJ6yfeBvQ,Twitter for iPhone,8,101,11/5/2021
2021-11-02 10:06:11+00:00,1.46E+18,"Here’s another Shino Picture for you! I’m sooooooo looking forward to the Update on Friday 🍂🧡
📸 @IsakuCosplay… https://t.co/H6qvlrAc9E",Twitter for iPhone,8,30,11/2/2021
2021-11-05 14:53:26+00:00,1.46E+18,"NEW VIDEO!! Let’s unbox the BRAND NEW Series 5 #AnimalCrossing Amiibo cards! 

WATCH HERE: https://t.co/ckJrfWhQnB https://t.co/kf7OiheoRJ",Twitter for iPhone,8,133,11/5/2021
2021-11-01 16:49:45+00:00,1.46E+18,"autumn farm town entrance before &amp; after🍂🌾

https://t.co/VIr5E3fMuv

#acnh #animalcrossing #acnhdesign https://t.co/W6Pj2aRioo",Twitter for iPhone,8,58,11/1/2021
2021-11-04 13:35:46+00:00,1.46E+18,"When the villager you dislike barges in your house unexpectedly!! 
#ACNH #AnimalCrossingNewHorizions… https://t.co/sJiuSuybMg",Twitter for iPhone,8,33,11/4/2021
