emoji,group,before path,old_path,image_path,
😉,sentiment,1f609.svg,emoji_images/1f609.svg,https://twemoji.maxcdn.com/v/latest/svg/1f609.svg,
😊,sentiment,1f60a.svg,emoji_images/1f60a.svg,https://twemoji.maxcdn.com/v/latest/svg/1f60a.svg,
😋,sentiment,1f60b.svg,emoji_images/1f60b.svg,https://twemoji.maxcdn.com/v/latest/svg/1f60b.svg,
😌,sentiment,1f60c.svg,emoji_images/1f60c.svg,https://twemoji.maxcdn.com/v/latest/svg/1f60c.svg,
😍,sentiment,1f60d.svg,emoji_images/1f60d.svg,https://twemoji.maxcdn.com/v/latest/svg/1f60d.svg,
😎,sentiment,1f60e.svg,emoji_images/1f60e.svg,https://twemoji.maxcdn.com/v/latest/svg/1f60e.svg,
😏,sentiment,1f60f.svg,emoji_images/1f60f.svg,https://twemoji.maxcdn.com/v/latest/svg/1f60f.svg,
😐,sentiment,1f610.svg,emoji_images/1f610.svg,https://twemoji.maxcdn.com/v/latest/svg/1f610.svg,
😑,sentiment,1f611.svg,emoji_images/1f611.svg,https://twemoji.maxcdn.com/v/latest/svg/1f611.svg,
😒,sentiment,1f612.svg,emoji_images/1f612.svg,https://twemoji.maxcdn.com/v/latest/svg/1f612.svg,
😔,sentiment,1f614.svg,emoji_images/1f614.svg,https://twemoji.maxcdn.com/v/latest/svg/1f614.svg,
😕,sentiment,1f615.svg,emoji_images/1f615.svg,https://twemoji.maxcdn.com/v/latest/svg/1f615.svg,
😖,sentiment,1f616.svg,emoji_images/1f616.svg,https://twemoji.maxcdn.com/v/latest/svg/1f616.svg,
😗,sentiment,1f617.svg,emoji_images/1f617.svg,https://twemoji.maxcdn.com/v/latest/svg/1f617.svg,
😘,sentiment,1f618.svg,emoji_images/1f618.svg,https://twemoji.maxcdn.com/v/latest/svg/1f618.svg,
😙,sentiment,1f619.svg,emoji_images/1f619.svg,https://twemoji.maxcdn.com/v/latest/svg/1f619.svg,
😚,sentiment,1f61a.svg,emoji_images/1f61a.svg,https://twemoji.maxcdn.com/v/latest/svg/1f61a.svg,
